westminster-parliamentary-constituency	name	start-date	end-date
101	Aldershot	2010-04-12	
102	Aldridge-Brownhills	2010-04-12	
103	Altrincham and Sale West	2010-04-12	
104	Amber Valley	2010-04-12	
105	Arundel and South Downs	2010-04-12	
106	Ashfield	2010-04-12	
107	Ashford	2010-04-12	
108	Ashton-under-Lyne	2010-04-12	
109	Aylesbury	2010-04-12	
110	Banbury	2010-04-12	
111	Barking	2010-04-12	
112	Barnsley Central	2010-04-12	
113	Barnsley East	2010-04-12	
114	Barrow and Furness	2010-04-12	
115	Basildon and Billericay	2010-04-12	
116	Basingstoke	2010-04-12	
117	Bassetlaw	2010-04-12	
118	Bath	2010-04-12	
119	Batley and Spen	2010-04-12	
120	Battersea	2010-04-12	
121	Beaconsfield	2010-04-12	
122	Beckenham	2010-04-12	
123	Bedford	2010-04-12	
124	Bermondsey and Old Southwark	2010-04-12	
125	Berwick-upon-Tweed	2010-04-12	
126	Bethnal Green and Bow	2010-04-12	
127	Beverley and Holderness	2010-04-12	
128	Bexhill and Battle	2010-04-12	
129	Bexleyheath and Crayford	2010-04-12	
130	Birkenhead	2010-04-12	
131	Birmingham, Edgbaston	2010-04-12	
132	Birmingham, Erdington	2010-04-12	
133	Birmingham, Hall Green	2010-04-12	
134	Birmingham, Hodge Hill	2010-04-12	
135	Birmingham, Ladywood	2010-04-12	
136	Birmingham, Northfield	2010-04-12	
137	Birmingham, Perry Barr	2010-04-12	
138	Birmingham, Selly Oak	2010-04-12	
139	Birmingham,Yardley	2010-04-12	
140	Bishop Auckland	2010-04-12	
141	Blackburn	2010-04-12	
142	Blackley and Broughton	2010-04-12	
143	Blackpool North and Cleveleys	2010-04-12	
144	Blackpool South	2010-04-12	
145	Blaydon	2010-04-12	
146	Blyth Valley	2010-04-12	
147	Bognor Regis and Littlehampton	2010-04-12	
148	Bolsover	2010-04-12	
149	Bolton North East	2010-04-12	
150	Bolton South East	2010-04-12	
151	Bolton West	2010-04-12	
152	Bootle	2010-04-12	
153	Boston and Skegness	2010-04-12	
154	Bosworth	2010-04-12	
155	Bournemouth East	2010-04-12	
156	Bournemouth West	2010-04-12	
157	Bracknell	2010-04-12	
158	Bradford East	2010-04-12	
159	Bradford South	2010-04-12	
160	Bradford West	2010-04-12	
161	Braintree	2010-04-12	
162	Brent Central	2010-04-12	
163	Brent North	2010-04-12	
164	Brentford and Isleworth	2010-04-12	
165	Brentwood and Ongar	2010-04-12	
166	Bridgwater and West Somerset	2010-04-12	
167	Brigg and Goole	2010-04-12	
168	Brighton, Kemptown	2010-04-12	
169	Brighton, Pavilion	2010-04-12	
170	Bristol East	2010-04-12	
171	Bristol North West	2010-04-12	
172	Bristol South	2010-04-12	
173	Bristol West	2010-04-12	
174	Broadland	2010-04-12	
175	Bromley and Chislehurst	2010-04-12	
176	Bromsgrove	2010-04-12	
177	Broxbourne	2010-04-12	
178	Broxtowe	2010-04-12	
179	Buckingham	2010-04-12	
180	Burnley	2010-04-12	
181	Burton	2010-04-12	
182	Bury North	2010-04-12	
183	Bury South	2010-04-12	
184	Bury St Edmunds	2010-04-12	
185	Calder Valley	2010-04-12	
186	Camberwell and Peckham	2010-04-12	
187	Camborne and Redruth	2010-04-12	
188	Cambridge	2010-04-12	
189	Cannock Chase	2010-04-12	
190	Canterbury	2010-04-12	
191	Carlisle	2010-04-12	
192	Carshalton and Wallington	2010-04-12	
193	Castle Point	2010-04-12	
194	Central Devon	2010-04-12	
195	Central Suffolk and North Ipswich	2010-04-12	
196	Charnwood	2010-04-12	
197	Chatham and Aylesford	2010-04-12	
198	Cheadle	2010-04-12	
199	Chelmsford	2010-04-12	
200	Chelsea and Fulham	2010-04-12	
201	Cheltenham	2010-04-12	
202	Chesham and Amersham	2010-04-12	
203	Chesterfield	2010-04-12	
204	Chichester	2010-04-12	
205	Chingford and Woodford Green	2010-04-12	
206	Chippenham	2010-04-12	
207	Chipping Barnet	2010-04-12	
208	Chorley	2010-04-12	
209	Christchurch	2010-04-12	
210	Cities of London and Westminster	2010-04-12	
211	City of Chester	2010-04-12	
212	City of Durham	2010-04-12	
213	Clacton	2010-04-12	
214	Cleethorpes	2010-04-12	
215	Colchester	2010-04-12	
216	Colne Valley	2010-04-12	
217	Congleton	2010-04-12	
218	Copeland	2010-04-12	
219	Corby	2010-04-12	
220	Coventry North East	2010-04-12	
221	Coventry North West	2010-04-12	
222	Coventry South	2010-04-12	
223	Crawley	2010-04-12	
224	Crewe and Nantwich	2010-04-12	
225	Croydon Central	2010-04-12	
226	Croydon North	2010-04-12	
227	Croydon South	2010-04-12	
228	Dagenham and Rainham	2010-04-12	
229	Darlington	2010-04-12	
230	Dartford	2010-04-12	
231	Daventry	2010-04-12	
232	Denton and Reddish	2010-04-12	
233	Derby North	2010-04-12	
234	Derby South	2010-04-12	
235	Derbyshire Dales	2010-04-12	
236	Devizes	2010-04-12	
237	Dewsbury	2010-04-12	
238	Don Valley	2010-04-12	
239	Doncaster Central	2010-04-12	
240	Doncaster North	2010-04-12	
241	Dover	2010-04-12	
242	Dudley North	2010-04-12	
243	Dudley South	2010-04-12	
244	Dulwich and West Norwood	2010-04-12	
245	Ealing Central and Acton	2010-04-12	
246	Ealing North	2010-04-12	
247	Ealing, Southall	2010-04-12	
248	Easington	2010-04-12	
249	East Devon	2010-04-12	
250	East Ham	2010-04-12	
251	East Hampshire	2010-04-12	
252	East Surrey	2010-04-12	
253	East Worthing and Shoreham	2010-04-12	
254	East Yorkshire	2010-04-12	
255	Eastbourne	2010-04-12	
256	Eastleigh	2010-04-12	
257	Eddisbury	2010-04-12	
258	Edmonton	2010-04-12	
259	Ellesmere Port and Neston	2010-04-12	
260	Elmet and Rothwell	2010-04-12	
261	Eltham	2010-04-12	
262	Enfield North	2010-04-12	
263	Enfield, Southgate	2010-04-12	
264	Epping Forest	2010-04-12	
265	Epsom and Ewell	2010-04-12	
266	Erewash	2010-04-12	
267	Erith and Thamesmead	2010-04-12	
268	Esher and Walton	2010-04-12	
269	Exeter	2010-04-12	
270	Fareham	2010-04-12	
271	Faversham and Mid Kent	2010-04-12	
272	Feltham and Heston	2010-04-12	
273	Filton and Bradley Stoke	2010-04-12	
274	Finchley and Golders Green	2010-04-12	
275	Folkestone and Hythe	2010-04-12	
276	Forest of Dean	2010-04-12	
277	Fylde	2010-04-12	
278	Gainsborough	2010-04-12	
279	Garston and Halewood	2010-04-12	
