westminster-parliamentary-constituency	name	start-date	end-date
801	Belfast East	2010-04-12	
802	Belfast North	2010-04-12	
803	Belfast South	2010-04-12	
804	Belfast West	2010-04-12	
805	East Antrim	2010-04-12	
806	East Londonderry	2010-04-12	
807	Fermanagh and South Tyrone	2010-04-12	
808	Foyle	2010-04-12	
809	Lagan Valley	2010-04-12	
810	Mid Ulster	2010-04-12	
811	Newry and Armagh	2010-04-12	
812	North Antrim	2010-04-12	
813	North Down	2010-04-12	
814	South Antrim	2010-04-12	
815	South Down	2010-04-12	
816	Strangford	2010-04-12	
817	Upper Bann	2010-04-12	
818	West Tyrone	2010-04-12	
