westminster-parliamentary-constituency	name	start-date	end-date
702	Aberdeen North	2010-04-12	
703	Aberdeen South	2010-04-12	
725	Airdrie and Shotts	2010-04-12	
707	Angus	2010-04-12	
710	Argyll and Bute	2010-04-12	
721	Ayr, Carrick and Cumnock	2010-04-12	
704	Banff and Buchan	2010-04-12	
714	Berwickshire, Roxburgh and Selkirk	2010-04-12	
751	Caithness, Sutherland and Easter Ross	2010-04-12	
722	Central Ayrshire	2010-04-12	
726	Coatbridge, Chryston and Bellshill	2010-04-12	
727	Cumbernauld, Kilsyth and Kirkintilloch East	2010-04-12	
715	Dumfries and Galloway	2010-04-12	
716	Dumfriesshire, Clydesdale and Tweeddale	2010-04-12	
708	Dundee East	2010-04-12	
709	Dundee West	2010-04-12	
740	Dunfermline and West Fife	2010-04-12	
728	East Dunbartonshire	2010-04-12	
717	East Kilbride, Strathaven and Lesmahagow	2010-04-12	
735	East Lothian	2010-04-12	
736	East Renfrewshire	2010-04-12	
730	Edinburgh East	2010-04-12	
731	Edinburgh North and Leith	2010-04-12	
733	Edinburgh South	2010-04-12	
732	Edinburgh South West	2010-04-12	
734	Edinburgh West	2010-04-12	
737	Falkirk	2010-04-12	
744	Glasgow Central	2010-04-12	
745	Glasgow East	2010-04-12	
748	Glasgow North	2010-04-12	
746	Glasgow North East	2010-04-12	
747	Glasgow North West	2010-04-12	
750	Glasgow South	2010-04-12	
749	Glasgow South West	2010-04-12	
741	Glenrothes	2010-04-12	
705	Gordon	2010-04-12	
754	Inverclyde	2010-04-12	
752	Inverness, Nairn, Badenoch and Strathspey	2010-04-12	
723	Kilmarnock and Loudon	2010-04-12	
742	Kirkcaldy and Cowdenbeath	2010-04-12	
718	Lanark and Hamilton East	2010-04-12	
738	Linlithgow and East Falkirk	2010-04-12	
739	Livingston	2010-04-12	
719	Midlothian	2010-04-12	
755	Moray	2010-04-12	
729	Motherwell and Wishaw	2010-04-12	
713	Na h-Eileanan an Iar	2010-04-12	
701	Name and Designation	2010-04-12	
724	North Ayrshire and Arran	2010-04-12	
743	North East Fife	2010-04-12	
711	Ochil and South Perthshire	2010-04-12	
756	Orkney and Shetland	2010-04-12	
757	Paisley and Renfrewshire North	2010-04-12	
758	Paisley and Renfrewshire South	2010-04-12	
712	Perth and North Perthshire	2010-04-12	
753	Ross, Skye and Lochaber	2010-04-12	
720	Rutherglen and Hamilton West	2010-04-12	
759	Stirling	2010-04-12	
706	West Aberdeenshire and Kincardine	2010-04-12	
760	West Dunbartonshire	2010-04-12	
