westminster-parliamentary-constituency	name	start-date	end-date
936	Aberavon	2010-04-12	
901	Aberconwy	2010-04-12	
902	Alyn and Deeside	2010-04-12	
926	Arfon	2010-04-12	
913	Blaenau Gwent	2010-04-12	
929	Brecon and Radnorshire	2010-04-12	
914	Bridgend	2010-04-12	
915	Caerphilly	2010-04-12	
931	Cardiff Central	2010-04-12	
932	Cardiff North	2010-04-12	
933	Cardiff South and Penarth	2010-04-12	
934	Cardiff West	2010-04-12	
908	Carmarthen East and Dinefwr	2010-04-12	
909	Carmarthen West and South Pembrokeshire	2010-04-12	
910	Ceredigion	2010-04-12	
903	Clwyd South	2010-04-12	
904	Clwyd West	2010-04-12	
916	Cynon Valley	2010-04-12	
905	Delyn	2010-04-12	
927	Dwyfor Meirionnydd	2010-04-12	
937	Gower	2010-04-12	
917	Islwyn	2010-04-12	
911	Llanelli	2010-04-12	
918	Merthyr Tydfil and Rhymney	2010-04-12	
919	Monmouth	2010-04-12	
930	Montgomeryshire	2010-04-12	
938	Neath	2010-04-12	
920	Newport East	2010-04-12	
921	Newport West	2010-04-12	
922	Ogmore	2010-04-12	
923	Pontypridd	2010-04-12	
912	Preseli Pembrokeshire	2010-04-12	
924	Rhondda	2010-04-12	
939	Swansea East	2010-04-12	
940	Swansea West	2010-04-12	
925	Torfaen	2010-04-12	
906	Vale of Clwyd	2010-04-12	
935	Vale of Glamorgan	2010-04-12	
907	Wrexham	2010-04-12	
928	Ynys Môn	2010-04-12	
